payer_name,beneficiary_name,date,purpose,amount_orig_currency,amount_orig,amount_usd,amount_eur,investigation
POLUX MANAGEMENT LP,"MEGA TURIZM TASIMACILIK ,TARIM ORMA",2013-08-23,1308235025805076 PAYMENT TO THE CONTRACT N 2/2013 DD .08 .07.2013 FOR WOOD MATERIALS.,USD,-3e+05,300000,226932.6,az
POLUX MANAGEMENT LP,"SHANDONG SANTAI RUBBER CO., LTD",2013-08-23,1308235027008116 PAYMENT TO THE CONTRACT N 2013 DD.1 2.0 8.2013 FOR EQUIPMENT.,USD,-234081,234081,177068.7,az
POLUX MANAGEMENT LP,"MEGA TURIZM TASIMACILIK ,TARIM ORMA",2013-08-23,1308235024771004 PAYMENT TO THE CONTRACT N 2/2013 DD .08 .07.2013 FOR WOOD MATERIALS.,USD,-2e+05,200000,151288.4,az
METASTAR INVEST LLP,GREENOUGH TRADE LLP,2013-08-23,1308235070374216 INVOICE No 94865/52 DD 15.05.13,USD,-160000,160000,121030.72,az
METASTAR INVEST LLP,15747,2013-08-23,1308235030280312 AGENTSKOE SOGLOSHENIYE DD 07.01.201 3,EUR,-150000,198297,150000,az
METASTAR INVEST LLP,KG COMMERCE LLP,2013-08-23,1308235071157428 invoice 0103-1 dd 15.06.2013,USD,-120240,120240,90954.59,az
METASTAR INVEST LLP,BSMAX LLP,2013-08-23,1308235074985620 INVOICE 01-4 DD 04.05.13,USD,-102000,102000,77157.08,az
POLUX MANAGEMENT LP,DATEMILE ALLIANCE LLP,2013-08-23,1308235076768908 PAYM.TO THE CONT.,USD,-1e+05,100000,75644.2,az
METASTAR INVEST LLP,LOTA SALES LLP,2013-08-23,1308235073481672 INVOICE No 327955 DD 15.08.13,USD,-1e+05,100000,75644.2,az
POLUX MANAGEMENT LP,PAKPEN DIS TICARET A.S.,2013-08-23,1308235024813812 PAYMENT TO THE CONTRACT N 3 DD.01.0 7.2 013 FOR PLASTIC GOODS.,USD,-1e+05,100000,75644.2,az
METASTAR INVEST LLP,W.HORSTMANN GMBH,2013-08-23,"1308235023707456 INVOICE 13401353,13401513",USD,-72657,72657,54960.81,az
METASTAR INVEST LLP,LUXBORG L.P.,2013-08-23,1308235074140504 invoice 011-22 dd 10.03.2013,USD,-70000,70000,52950.94,az
METASTAR INVEST LLP,RUSSIAN MINING-METALLURGICAL,2013-08-23,1308235025901760 CONTRCT RGMK-FI-01/AZ 27.02.2013,USD,-47498,47498,35929.48,az
POLUX MANAGEMENT LP,CITYPORT CONTRACTS L.P.,2013-08-23,1308235074913748 PAYMENT TO THE CONTRACT N 111 DD.11.06. 2013,USD,-42500,42500,32148.79,az
METASTAR INVEST LLP,AB STUMBRAS,2013-08-23,1308235032428456 INVOICE N OK20130814-1 DD 14.08.201 3,EUR,-30639.2,40505,30639.2,az
METASTAR INVEST LLP,LOTA SALES LLP,2013-08-23,1308235074237656 INVOICE No 327955 DD 15.08.13,USD,-30000,30000,22693.26,az
POLUX MANAGEMENT LP,LLC UKRDOORS,2013-08-23,1308235022619508 PAYMENT TO THE INVOICE N 4 DD 01.08 .20 13 FOR DOORS.,USD,-26686,26686,20186.41,az
POLUX MANAGEMENT LP,MAJOR AUTOMOTIVE GROUP INC,2013-08-23,1308235025008116 PAYMENT TO THE CONTRACT N 2 DD.07.0 8.2 013 FOR SPARE PARTS.,USD,-20000,20000,15128.84,az
METASTAR INVEST LLP,TEKSER AKIRYAKIT ISTASYONLARI,2013-08-23,1308235027079832 INVOICE BAYILIK VE ALT DISTRINUTORL UK SOZLESHMESI 19.04.2007 QULIYEV M .,USD,-19600,19600,14826.26,az
METASTAR INVEST LLP,BIOMEDICARE PVTLTD.,2013-08-23,1308235021730384 INVOICE 46200,USD,-16862,16862,12755.13,az
METASTAR INVEST LLP,BOYSAN BOYA SAN.VE TIC.A.S.,2013-08-23,1308235020784184 INVOICE 031000-114 DD 111.06.2013 F OR PAINTS,USD,-15000,15000,11346.63,az
POLUX MANAGEMENT LP,HARNAK GIDA TARIM URUNLERI TASIMACI,2013-08-23,1308235022519316 PAYMENT FOR FOOD INVOICE DD 07.08.2 013,USD,-14880,14880,11255.86,az
POLUX MANAGEMENT LP,GS GLOBAL CORP.,2013-08-23,1308235022419380 PAYMENT TO THE INVOICE N GSG-PC-081 3 F OR EQUIPMENT.,USD,-12820.94,12821,9698.3,az
METASTAR INVEST LLP,WISE HOLDING LIMITED,2013-08-23,1308235026313296 INVOICE 9021020,USD,-11390.4,11391,8616.18,az
POLUX MANAGEMENT LP,IMPULSE RM INC,2013-08-23,1308235023416468 PAYMENT FOR PARTS UNDER CONTRACT N 3201 9 DD.05.08.2013,USD,-10000,10000,7564.42,az
METASTAR INVEST LLP,MOLONEY TRADE LLP,2013-08-23,1308235072757376 for EQUIPMENT,USD,-10000,10000,7564.42,az
POLUX MANAGEMENT LP,RAAB BERNHARD,2013-08-23,1308235037108052 PAYMENT TO THE INVOICE N 001982 DD.20.0 8.2013 FOR SERVICE.,EUR,-7000,9254,7000,az
METASTAR INVEST LLP,MILEVICH MOREINAS OLEG FEDOROVICH,2013-08-23,1308235021764224 INVOICE No 938456329 FOR AKSESUARI(FLOW ERS),USD,-5000,5000,3782.21,az
POLUX MANAGEMENT LP,THIERRY MUGLER SAS,2013-08-23,1308235034907924 PAYMENT TO THE INVOICE N ZB130425-1 GFL FOR TEXTILES.,EUR,-4000,5288,4000,az
METASTAR INVEST LLP,BELLERBYS EDUCATION SERVICES UK LTD,2013-08-23,1308235026429176 INVOICE 1523689/MEKHTIEVA,GBP,-3640,5511,4168.17,az
POLUX MANAGEMENT LP,MR F SETI,2013-08-23,1308235024807988 PAYMENT TO THE CONTRACT N 32819 DD. 01. 08.2013 FOR SERVICE.,GBP,-2400,3634,2748.25,az
METASTAR INVEST LLP,"NIKKYO CO.,LTD",2013-08-23,1308235025789916 INVOICE NKO-118423 DD 2013/08/19,USD,-2272,2272,1718.64,az
POLUX MANAGEMENT LP,HKS YAPISAL URUNLER SAN.TIC.LTD.STI,2013-08-23,1308235026766124 PAYMENT TO THE INVOICE N 01982 DD.2 1.0 8.2013,EUR,-1809,2392,1809,az
HILUX SERVICES LP,POLUX MANAGEMENT LLP,2013-08-23,1308235074576700 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,USD,-200,200,151.29,az
POLUX MANAGEMENT LP,FABERLEX LP,2013-08-23,1308235075970952 PAYMENT TO THE CONTRACT N 007 DD 07.06. 2013 FOR EQUIPMENT.,USD,-100,100,75.64,az
HILUX SERVICES LP,POLUX MANAGEMENT LP,2013-08-23,1308235074576700 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,USD,200,200,151.29,az
EVERMAIR PROJECTS LP,METASTAR INVEST LLP,2013-08-23,1308235075937112 PAYMENT FOR ELECTRO DEVICE BY CNTR 76 D D 01.03.2013,USD,69611,69611,52656.68,az
LOTA SALES LLP,METASTAR INVEST LLP,2013-08-23,1308235074948948 DOGOVOR ZAYMA,USD,1e+05,100000,75644.2,az
BAKTELEKOM MMC,HILUX SERVICES LP,2013-08-23,"1308235107013000 CONTRACT N01 29.05.2013DANSKE BANK AS E STONIABRANCH TALLINN ESTONIA  /FEE/USD53,5",USD,299946.5,299947,226892.13,az
JETMAX CONTRACTS LLP,METASTAR INVEST LLP,2013-08-23,1308235075120700 INVOICE.No 6480 DD 16.08.2013,USD,3e+05,300000,226932.6,az
"MEGA TURIZM TASIMACILIK ,TARIM ORMA",POLUX MANAGEMENT LP,2013-08-23,tagastus Kliendi korralduse alusel,USD,3e+05,300000,226932.6,az
LARKSTONE LIMITED,METASTAR INVEST LLP,2013-08-23,INVOICE 3113/6 DD 02.07.2013,EUR,475100,628072,475100,az
KG COMMERCE LLP,METASTAR INVEST LLP,2013-08-23,1308235074968880 INVOICE.No 01988 DD 15.08.2013,USD,5e+05,500000,378221,az
BAKTELEKOM MMC,POLUX MANAGEMENT LP,2013-08-23,"1308235105216116 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA  /FEE/USD58,5",USD,1282741.5,1282742,970319.55,az
POLUX MANAGEMENT LP,MOLONEY TRADE LLP,2013-08-26,1308265074777710 PAYMENT TO THE CONTRACT N 003 DD.30.05. 2013 FOR EQUIPMENT.,USD,-1500000,1500000,1134663,az
METASTAR INVEST LLP,INN048073601,2013-08-26,1308265025173674 (VO10200) DOGOVOR No 293 DD 02.08.09 BE Z NDS BEZ NDS,RUB,-1330000,40233,30433.88,az
POLUX MANAGEMENT LP,RIVARLANE LLP,2013-08-26,1308265072897530 PAYMENT TO THE CONTRACT N 001 DD 06.06. 2013 FOR CONSTRUCTION MATERIALS.,USD,-443500,443500,335482.03,az
POLUX MANAGEMENT LP,CITYPORT CONTRACTS L.P.,2013-08-26,1308265072583406 PAYMENT TO THE CONTRACT N 111 DD.11.06. 2013,USD,-125000,125000,94555.25,az
HILUX SERVICES LP,BASF SE,2013-08-26,1308265033465506 PAYMENT TO THE INVOICE N 200196083 DD.2 3.08.2013 FOR CHEMICAL GOODS.,EUR,-60390,79835,60390,az
METASTAR INVEST LLP,VESNA METAL VE PROFIL SAN. DIS TIC.,2013-08-26,1308265020354114 INVOICE 39/2 DD 23.02.2013,USD,-40000,40000,30257.68,az
POLUX MANAGEMENT LP,RIVERLANE LLP,2013-08-26,1308265074462750 PAYMENT TO THE CONTRACT N 001 DD 06.06. 2013 FOR CONSTRUCTION MATERIALS.,USD,-39500,39500,29879.46,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2013-08-26,1308265078373194 invoice 12/31/202/02 dd 29.05.2013,USD,-38200,38200,28896.08,az
METASTAR INVEST LLP,WONG YUI FUN,2013-08-26,1308265021765206 INVOICE 555 DD 31.07.2012,USD,-35000,35000,26475.47,az
METASTAR INVEST LLP,MAR DEMIR KAUCUK VE PLASTIK SAN.,2013-08-26,1308265022548418 INVOICE 10-7 DD 4/5/13,USD,-30000,30000,22693.26,az
METASTAR INVEST LLP,BOYSAN BOYA SAN.VE TIC.A.S.,2013-08-26,1308265024792718 INVOICE 031000-114 DD 111.06.2013 F OR PAINTS,USD,-25173,25173,19041.91,az
METASTAR INVEST LLP,F.BUCHELER GMBH & CO.KG,2013-08-26,1308265036649286 INVOICE 700210 DD 23.06.2013 FOR CAR,EUR,-25000,33050,25000,az
METASTAR INVEST LLP,SHANTOU VERTEX FURNITURE+DECORATION,2013-08-26,1308265026348118 INVOICE 099/1 DD 21.03.2013,USD,-24470,24470,18510.14,az
POLUX MANAGEMENT LP,RIVARLANE LLP,2013-08-26,PAYMENT TO THE CONTRACT N 001 DD 06.06.2013 FOR CONSTRUC TION MATERIALS.,EUR,-24261,32073,24261,az
METASTAR INVEST LLP,INTERMIK SP.ZO.O.,2013-08-26,1308265031142154 CONTRACT AZ-02/2011 DD 29.07.2011 F OR EQUIPMENT,EUR,-23500,31067,23500,az
METASTAR INVEST LLP,BREHLER MELVIN HOWARD,2013-08-26,1308265025057738 INVOICE 685212 DD 12.05.2013,USD,-17000,17000,12859.51,az
METASTAR INVEST LLP,MAMMADOV ZEYNAL,2013-08-26,1308265034304690 INVOICE 1996 DD 08.07.2013,EUR,-15000,19830,15000,az
POLUX MANAGEMENT LP,RIVARLANE LLP,2013-08-26,PAYMENT TO THE CONTRACT N 001 DD 06.06.2013 FOR CONSTRUC TION MATERIALS.,EUR,-8896,11761,8896,az
METASTAR INVEST LLP,TRADING COMPANY.P.VAN ADRIGHEM BV,2013-08-26,1308265036253014 INVOICE 20130965 CUS.304003 DD 02-0 8-1 3,EUR,-6000,7932,6000,az
METASTAR INVEST LLP,Mehmet Batuhan YILDIRIM,2013-08-26,1308265024206750 Routing N 271972572 INVOICE 44140 DD 20 .05.2013,USD,-6000,6000,4538.65,az
METASTAR INVEST LLP,LUXBORG L.P.,2013-08-26,1308265070680202 invoice 011-22 dd 10.03.2013,USD,-5000,5000,3782.21,az
METASTAR INVEST LLP,REVI-FUR INDUSTRIALAND TRADE,2013-08-26,1308265023959510 INVOICE 554 DD 12.06.2013,USD,-3350,3350,2534.08,az
POLUX MANAGEMENT LP,RIVARLANE LLP,2013-08-26,1308265076834102 PAYMENT TO THE CONTRACT N 001 DD 06.06. 2013 FOR CONSTRUCTION MATERIALS.,USD,-600,600,453.87,az
HILUX SERVICES LP,RIVERLANE LLP,2013-08-26,1308265076349854 PAYMENT TO THE CONTRACT N 8 DD.14.06.20 13,USD,-500,500,378.22,az
LOTA SALES LLP,METASTAR INVEST LLP,2013-08-26,1308265077878398 DOGOVOR ZAYMA,USD,2690,2690,2034.83,az
STATE ENERGETICS AGENCY OF,METASTAR INVEST LLP,2013-08-26,1308265102396602 PREPAYMENT FOR RAILWAY TRANSPORTATION A CC. TO THE CONTRACT NO. 028/08-13 DATED 20.08.2013,USD,4320.6,4321,3268.28,az
CYNOSURE INC.,METASTAR INVEST LLP,2013-08-26,1308245101261612 /RFB/CAP OF 13/08/23CYNOSURE INC. R EIM BURSEMENT FOROVERPAYMENT OF LASE R ORDER 0 0AMERICAN EXP RESS SVCS EUROPE LTDLONDON UNITED KINGDOM SW1W -9AX,USD,4687.87,4688,3546.1,az
MOLONEY TRADE LLP,METASTAR INVEST LLP,2013-08-26,1308265074760134 INVOICE DD 26.07.2013,USD,5000,5000,3782.21,az
MOLONEY TRADE LLP,METASTAR INVEST LLP,2013-08-26,1308265070587926 INVOICE DD 26.07.2013,USD,10000,10000,7564.42,az
RIVERLANE LLP,HILUX SERVICES LP,2013-08-26,PAYMENT TO THE CONTRACT 02 DD 31.05.2013 FOR EQUIPMENT.,EUR,60390,79835,60390,az
EVERMAIR PROJECTS LP,METASTAR INVEST LLP,2013-08-26,1308265075879290 PAYMENT FOR ELECTRO DEVICE BY CNTR 76 D D 01.03.2013,USD,170014,170014,128605.73,az
DERWOTS PRODUCTIONS LIMITED,METASTAR INVEST LLP,2013-08-26,1308265076627198 PAYMENT FOR ELECTRO DEVICE BY CNTR 110 DD 04.07.2013,USD,281772,281772,213144.18,az
BAKTELEKOM MMC,POLUX MANAGEMENT LP,2013-08-26,"1308265103820650 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA  /FEE/USD58,5",USD,2152941.5,2152942,1628575.37,az
HILUX SERVICES LP,RIVERLANE LLP,2013-08-27,1308275077949010 PAYMENT TO THE CONTRACT N 8 DD.14.06.20 13,USD,-1949000,1949000,1474305.46,az
POLUX MANAGEMENT LP,RIVARLANE LLP,2013-08-27,1308275072895268 PAYMENT TO THE CONTRACT N 001 DD 06.06. 2013 FOR CONSTRUCTION MATERIALS.,USD,-710500,710500,537452.04,az
POLUX MANAGEMENT LP,HILUX SERVICES LP,2013-08-27,1308275076423812 PAYMENT TO THE CONTRACT N 005 DD 05.06. 2013 FOR EQUIPMENT.,USD,-630200,630200,476709.75,az
HILUX SERVICES LP,POLUX MANAGEMENT LLP,2013-08-27,1308275076669010 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,USD,-429000,429000,324513.62,az
POLUX MANAGEMENT LP,WORLD MEDICINE KOLL. STI,2013-08-27,1308275024958538 PAYMENT TO THE CONTRACT N 2/TR-AZ/1 1 F OR MEDICINE.,USD,-428500,428500,324135.4,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2013-08-27,1308275075904946 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,USD,-3e+05,300000,226932.6,az
METASTAR INVEST LLP,KG COMMERCE LLP,2013-08-27,1308275076742978 invoice 0103/2 dd 05.07.2013,USD,-250750,250750,189677.83,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2013-08-27,1308275077461028 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,USD,-250000,250000,189110.5,az
HILUX SERVICES LP,GLOBECOM TRADE L.P.,2013-08-27,1308275070681028 PAYMENT TO THE CONTRACT N 500 DD.16.06. 2013,USD,-250000,250000,189110.5,az
METASTAR INVEST LLP,BRABUS GMBH,2013-08-27,1308275037670076 Fur Mercedes-Benz SL65,EUR,-216000,285548,216000,az
HILUX SERVICES LP,"ST.CARNIVAL INTERNATIONAL CO., LIMI",2013-08-27,1308275027197698 PAYMENT TO THE CONTRACT N 8 DD.05.0 8.2 013 FOR CONSTRUCTION MATERIALS.,USD,-2e+05,200000,151288.4,az
METASTAR INVEST LLP,15747,2013-08-27,1308275032115158 AGENTSKOE SOGLOSHENIYE DD 07.01.201 3,EUR,-184000,243245,184000,az
HILUX SERVICES LP,PETALS LASTIK SAN. VE TIC. A.S.,2013-08-27,1308275025266724 PAYMENT TO THE INVOICE N 7516 FOR PLAST IC GOODS.,USD,-130000,130000,98337.46,az
HILUX SERVICES LP,KUTLUBEY HARITA INSAAT MUHENDISLIK,2013-08-27,1308275028004882 PAYMENT TO THE CONTRACT N 00333 DD. 09. 07.2013 FOR CONSTRUCTION MATERIA LS.,USD,-127375,127375,96351.8,az
HILUX SERVICES LP,RIVERLANE LLP,2013-08-27,PAYMENT TO THE CONTRACT N 8 DD.14.06.2013,EUR,-115296,152419,115296,az
HILUX SERVICES LP,POLUX MANAGEMENT LLP,2013-08-27,1308275076660090 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,USD,-110500,110500,83586.84,az
POLUX MANAGEMENT LP,RIVARLANE LLP,2013-08-27,PAYMENT TO THE CONTRACT N 001 DD 06.06.2013 FOR CONSTRUC TION MATERIALS.,EUR,-82834,109505,82834,az
HILUX SERVICES LP,EVRURUK EKSPORT IMPORT NAMIK MUSTAF,2013-08-27,1308275035810578 PAYMENT TO THE CONTRACT N 29181 DD. 08. 08.2013 FOR GOODS.,EUR,-70000,92539,70000,az
HILUX SERVICES LP,EAST SEA TRADE CO S.A,2013-08-27,1308275026699962 PAYMENT TO THE INVOICE N 8817 DD.20 .08 .2013 FOR TRANSPORTATION.,USD,-70000,70000,52950.94,az
HILUX SERVICES LP,ACMISGROUP,2013-08-27,1308275034973052 PAYMENT TO THE INVOICE N 00013 DD.2 2.0 8.2013 FOR EQUIPMENT.,EUR,-64970,85889,64970,az
HILUX SERVICES LP,"TENG YING TRADE CO.,LIMITED",2013-08-27,1308275025097762 PAYMENT TO THE CONTRACT N 2212 DD.0 9.0 8.2013 FOR CONSTRUCTION MATERIAL S.,USD,-60000,60000,45386.52,az
HILUX SERVICES LP,"FIRAT PLASTIK,KAUCUK SAN. VE TIC.",2013-08-27,1308275027097762 PAYMENT TO THE CONTRACT N 02 DD.06. 06. 2013 FOR PLASTIC GOODS.,USD,-45000,45000,34039.89,az
POLUX MANAGEMENT LP,TRICON DRY CHEMICALS LLC,2013-08-27,1308275025277740 PAYMENT TO THE CONTRACT N 0338 DD.02.06 .2013 FOR CONSTRUCTION MATERIALS.,USD,-42000,42000,31770.56,az
HILUX SERVICES LP,S.C. S.N.L. S.R.L.,2013-08-27,1308275030514850 PAYMENT TO THE CONTRACT N 03 DD 31. 05. 2013 FOR PIPES.,EUR,-40000,52880,40000,az
METASTAR INVEST LLP,LOTA SALES LLP,2013-08-27,1308275071373970 INVOICE No 327955 DD 15.08.13,USD,-39880,39880,30166.91,az
METASTAR INVEST LLP,DROBIMEX SP.Z.O.O.,2013-08-27,1308275027407898 INVOICE N000051747/AZ/04/2013 DD 22 .08 .2013,USD,-34545,34545,26131.29,az
POLUX MANAGEMENT LP,EKERLER KAGIT TORBA VE POSET AMB,2013-08-27,1308275028110996 PAYMENT FOR BUILDING MATERIALS UNDER IN VOICE N AZ/12/08/13 DD 26.08.2013.,USD,-31913.6,31914,24140.79,az
METASTAR INVEST LLP,BULMINE GLOBAL METAL TRADING LTD,2013-08-27,1308275026297866 CONTRACT BGMT-9CA-050 DD 06.11.2009 INV OICE 306/1109/050 PORTLAND CEME NT,USD,-30000,30000,22693.26,az
POLUX MANAGEMENT LP,PARATEK EV GERECLERI SAN VE TIC LTD,2013-08-27,1308275027421156 PAYMENT TO THE CONTRACT N 022 DD.12.08. 2013 FOR EQUIPMENT.,USD,-25000,25000,18911.05,az
HILUX SERVICES LP,"YONGKANG KINON IMP + EXP CO.,LTD",2013-08-27,1308275022419314 PAYMENT TO THE CONTRACT N 889 DD.01 .08 .2013 FOR EQUIPMENT.,USD,-20000,20000,15128.84,az
HILUX SERVICES LP,RIVERLANE LLP,2013-08-27,1308275075315626 PAYMENT TO THE CONTRACT N 8 DD.14.06.20 13,USD,-16000,16000,12103.07,az
METASTAR INVEST LLP,INTERNATIONAL WORLDGATE COMPANY,2013-08-27,1308275023568274 INVOICE 25413680 DD 14.08.2013,USD,-15840,15840,11982.04,az
HILUX SERVICES LP,S.C.SCULPTORUL S.R.L.,2013-08-27,1308275022709154 PAYMENT TO THE CONTRACT N 299 DD.01 .07 .2013 FOR GOODS.,USD,-15000,15000,11346.63,az
METASTAR INVEST LLP,BAYMAK MAKINA SAN VE TIC. A S,2013-08-27,1308275025762578 INVOICE 4620001305810 DD 13.06.2013,EUR,-13600,17979,13600,az
HILUX SERVICES LP,L + G LTD,2013-08-27,1308275020019898 PAYMENT TO THE CONTRACT N 00129 DD. 09. 07.2013 FOR TRANSPORTATION.,USD,-12460.31,12461,9425.5,az
METASTAR INVEST LLP,PARDEEP SINGH,2013-08-27,1308275027720172 INVOICE 623000141,USD,-11000,11000,8320.86,az
METASTAR INVEST LLP,DORTDIVAN CERCEVE + MACUN SAN. TIC.,2013-08-27,1308275025744582 INVOICE 4445/1 DD 16.08.2013,USD,-10000,10000,7564.42,az
METASTAR INVEST LLP,YONTAR KALIP MAKINA VE INS.SAN.TIC.,2013-08-27,1308275025080658 INVOICE 210200 DD 15.05.2013,USD,-10000,10000,7564.42,az
METASTAR INVEST LLP,LOTA SALES LLP,2013-08-27,1308275076478058 INVOICE No 327955 DD 15.08.13,USD,-4000,4000,3025.77,az
HILUX SERVICES LP,FRANCESCO SMALTO INTERNATIONAL SAS,2013-08-27,1308275034903458 PAYMENT TO THE CONTRACT N 4556 DD.0 2.0 7.2013 FOR SERVICE.,EUR,-3676,4860,3676,az
METASTAR INVEST LLP,MEKAN DUZENLEME SAN.TIC. LTD.,2013-08-27,1308275024573490 INVOICE 845 DD 11.06.2013,USD,-1700,1700,1285.95,az
METASTAR INVEST LLP,SABA CARS Germany GmbH,2013-08-27,1308275035475772 MB Kindersitz 2 stuck,EUR,-500,661,500,az
METASTAR INVEST LLP,VALENTINA SINICINA,2013-08-27,1308275036850782 INVOICE 02/1 DD 11.08.2012,EUR,-300,397,300,az
LARKSTONE LIMITED,METASTAR INVEST LLP,2013-08-27,INVOICE 3113/7 DD 12.07.2013,EUR,55300,73106,55300,az
EVERMAIR PROJECTS LP,METASTAR INVEST LLP,2013-08-27,1308275071782990 PAYMENT FOR ELECTRO DEVICE BY CNTR 76 D D 01.03.2013,USD,93295,93295,70572.26,az
HILUX SERVICES LP,POLUX MANAGEMENT LP,2013-08-27,1308275076660090 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,USD,110500,110500,83586.84,az
HILUX SERVICES LP,POLUX MANAGEMENT LP,2013-08-27,1308275076669010 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,USD,429000,429000,324513.62,az
POLUX MANAGEMENT LP,HILUX SERVICES LP,2013-08-27,1308275076423812 PAYMENT TO THE CONTRACT N 005 DD 05.06. 2013 FOR EQUIPMENT.,USD,630200,630200,476709.75,az
METASTAR INVEST LLP,METASTAR INVEST LLP,2013-08-27,1308265104847114 REPLENISHMENT OF OWN ACCOUNT,USD,8e+05,800000,605153.6,az
BAKTELEKOM MMC,POLUX MANAGEMENT LP,2013-08-27,"1308275102384170 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA  /FEE/USD58,5",USD,1439941.5,1439942,1089232.23,az
BAKTELEKOM MMC,HILUX SERVICES LP,2013-08-27,"1308275106319794 CONTRACT N01 29.05.2013DANSKE BANK AS E STONIABRANCH TALLINN ESTONIA  /FEE/USD58,5",USD,3747941.5,3747942,2835100.36,az
POLUX MANAGEMENT LP,RIVERLANE LLP,2013-08-28,1308285071561812 PAYMENT TO THE CONTRACT N 001 DD 06.06. 2013 FOR CONSTRUCTION MATERIALS.,USD,-1620200,1620200,1225587.33,az
POLUX MANAGEMENT LP,VASSA IMPEX LLP,2013-08-28,1308285076947508 PAYMENT TO THE CONTRACT N 010 DD.05.06. 2013,USD,-5e+05,500000,378221,az
METASTAR INVEST LLP,INFOCREST LLP,2013-08-28,1308285071101904 INVOICE 57/90 DD 19.06.13,USD,-302856,302856,229093,az
HILUX SERVICES LP,DATEMILE ALLIANCE LLP,2013-08-28,1308285075564324 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,USD,-3e+05,300000,226932.6,az
METASTAR INVEST LLP,INFOCREST LLP,2013-08-28,1308285073699040 INVOICE 57/88 DD 05.04.2013,USD,-285000,285000,215585.97,az
METASTAR INVEST LLP,IMEX MOTORS L.L.C,2013-08-28,1308285026259456 INVOICE NO 031410/120 DD 02.07.13 F OR EQUIPMENT,EUR,-2e+05,264396,2e+05,az
POLUX MANAGEMENT LP,CITYPORT CONTRACTS L.P.,2013-08-28,1308285078244660 PAYMENT TO THE CONTRACT N 111 DD.11.06. 2013,USD,-115000,115000,86990.83,az
METASTAR INVEST LLP,"YIWU HENG YUE IMPORT+EXPORT CO.,LTD",2013-08-28,1308285022264712 INVOICE NO 3763232 DD 18.05.13,USD,-110000,110000,83208.62,az
METASTAR INVEST LLP,LOTA SALES LLP,2013-08-28,INVOICE No 327964 DD 05.08.13,EUR,-90000,118979,90000,az
HILUX SERVICES LP,RIVERLANE LLP,2013-08-28,1308285071775844 PAYMENT TO THE CONTRACT N 8 DD.14.06.20 13,USD,-88600,88600,67020.76,az
METASTAR INVEST LLP,SABA CARS GERMANY GMBH,2013-08-28,1308285031346732 MB NEU S500 LANG,EUR,-82000,108403,82000,az
METASTAR INVEST LLP,LOTA SALES LLP,2013-08-28,1308285073663160 INVOICE No 327964 DD 05.08.13,USD,-60000,60000,45386.52,az
POLUX MANAGEMENT LP,RUCKER GMBH,2013-08-28,1308285037933580 PAYMENT TO THE INVOICE N.SAP 20033969 F OR FOOD,EUR,-50515,66780,50515,az
POLUX MANAGEMENT LP,HILUX SERVICES LP,2013-08-28,1308285071461876 PAYMENT TO THE CONTRACT N 005 DD 05.06. 2013 FOR EQUIPMENT.,USD,-40000,40000,30257.68,az
HILUX SERVICES LP,VUGAR RZAYEV,2013-08-28,1308285020974692 PAYMENT TO THE CONTRACT N 50 DD.15. 06. 2013 FOR SERVICE.,USD,-40000,40000,30257.68,az
METASTAR INVEST LLP,TANG VONG CHHEANG TANG KIN CHHAY,2013-08-28,1308285025460452 INVOICE NO 239876 DD 25.04.13,USD,-33034,33034,24988.31,az
POLUX MANAGEMENT LP,RIVARLANE LLP,2013-08-28,PAYMENT TO THE CONTRACT N 001 DD 06.06.2013 FOR CONSTRUC TION MATERIALS.,EUR,-31975,42271,31975,az
POLUX MANAGEMENT LP,JUREN D.O.O.,2013-08-28,1308285036633644 PAYMENT TO THE INVOICE N 1 DD.16.08 .20 13 FOR EQUIPMENT.,EUR,-30000,39660,30000,az
HILUX SERVICES LP,RIVERLANE LLP,2013-08-28,PAYMENT TO THE CONTRACT N 8 DD.14.06.2013,EUR,-28420,37571,28420,az
